Article ID,GOLD: AF: Soziale Medien,PRED: AF: Soziale Medien,AVG DIFF: AF: Soziale Medien,Average difference per article
WZ_20130731031312148090058,0,0.9585,0.9585,0.9585
KURIER_201706101920400064,1,0.988,0.012,0.012
KURIER_201708021920320126,1,0.9685,0.0315,0.0315
WZ_20111223031310295860064,1,0.4302,0.5698,0.5698
WZ_20180116031310640080065,1,0.9599,0.0401,0.0401
HOR_20171027BD8378B6BF,1,0.4865,0.5135,0.5135
MWVOLL_20180621_9948695,1,0.9972,0.0028,0.0028
KURIER_201605090401000029,1,0.8792,0.1208,0.1208
STANDARD_20171102194502538810063,1,0.6706,0.3294,0.3294
TT_201803290E1143FE33,1,0.0812,0.9188,0.9188
KRONE_20180113665350016,1,0.9318,0.0682,0.0682
SN_20140811003124166830012,0,0.8832,0.8832,0.8832
PRESSE_201610011915210114,1,0.9984,0.0016,0.0016
WZ_20140214031311088700075,1,0.9722,0.0278,0.0278
KURIER_201701051920400069,1,0.9845,0.0155,0.0155
MWVOLL_20151221_6271834,1,0.9576,0.0424,0.0424
OOEN_20180502014504039450045,1,0.9996,0.0004,0.0004
STANDARD_20180217194503792870144,0,0.5571,0.5571,0.5571
PROFIL_20160418C3E30FAB52,1,0.9766,0.0234,0.0234
MEDIANET_20160902B0C588AC2A,1,0.985,0.015,0.015
OOEN_20161124040003143720095,1,0.9452,0.0548,0.0548
PROFIL_201504271515360021,1,0.9947,0.0053,0.0053
KURIER_201709161920370055,1,0.9957,0.0043,0.0043
WZ_20121113031323233630015,0,0.995,0.995,0.995
VN_20170619231851153070030,1,0.9116,0.0884,0.0884
FALTER_201210171627490040,1,0.9984,0.0016,0.0016
AUGUSTIN_20180523BD35D9AADB,1,0.9998,0.0002,0.0002
HOR_201111111511230025,1,0.9942,0.0058,0.0058
TVMEDIA_20161130A193B0E0D0,1,0.9894,0.0106,0.0106
KURIER_201612291920400008,1,0.9948,0.0052,0.0052
KURIER_201701250401240048,1,0.9884,0.0116,0.0116
TREND_201410271119240033,1,0.9498,0.0502,0.0502
KURIER_201705131920390057,0,0.8855,0.8855,0.8855
KONSUM_201811226DB535AF40,0,0.9355,0.9355,0.9355
KURIER_201606220402160236,1,0.8317,0.1683,0.1683
FORMATDB_201404251509320066,1,0.9392,0.0608,0.0608
KURIER_201803131920520035,1,0.996,0.004,0.004
EMEDIA_2018121434088C1B16,1,0.9287,0.0713,0.0713
WZ_20150522031314256230013,1,0.9996,0.0004,0.0004
KLEINE_20151231041001048910051,1,0.691,0.309,0.309
KURIER_201706231920420148,1,0.8653,0.1347,0.1347
KURIER_201604131921040170,1,0.0249,0.9751,0.9751
STANDARD_20160810194003101160073,0,0.6932,0.6932,0.6932
WZ_20141127031310104160016,0,0.7412,0.7412,0.7412
MEDIANET_2018051854EE2019AB,1,0.9855,0.0145,0.0145
HOR_201804063E31662A39,1,0.7768,0.2232,0.2232
WZ_20160827031109196290092,1,0.9857,0.0143,0.0143
TT_20161231E97D18764E,1,0.9993,0.0007,0.0007
KLEINE_20161227041002255230055,1,0.9745,0.0255,0.0255
PRESSE_201806090050160116,0,0.9849,0.9849,0.9849
PRESSE_201703121915120154,1,0.9551,0.0449,0.0449
STANDARD_20161126194005245720106,1,0.9938,0.0062,0.0062
PRESSE_201801131915170068,1,0.9734,0.0266,0.0266
FALTER_20160706C6654FC375,1,0.9967,0.0033,0.0033
PROFIL_20160613509111033C,1,0.9166,0.0834,0.0834
STANDARD_20130614194003266710096,1,0.995,0.005,0.005
WZ_20150617031308046800070,1,0.9991,0.0009,0.0009
STANDARD_20181121194502895250091,1,0.1669,0.8331,0.8331
PROFIL_201703131303200008,1,0.9253,0.0747,0.0747
WZ_20171230031309606310089,1,0.9454,0.0546,0.0546
STANDARD_20171012040504673550028,0,0.5445,0.5445,0.5445
HOR_20170929ED5BF5B1F9,0,0.965,0.965,0.965
STANDARD_20180420194502107340150,1,0.9994,0.0006,0.0006
KURIER_201806261921130145,0,0.1105,0.1105,0.1105
STANDARD_20180523040502553940131,1,0.9318,0.0682,0.0682
NVT_201712060F00F9454E,1,0.9774,0.0226,0.0226
SN_20180113013228261630040,1,0.6268,0.3732,0.3732
OOEN_20171129040004132910109,1,0.9934,0.0066,0.0066
TT_201704244B424FE8D5,1,0.9837,0.0163,0.0163
KURIER_201612171920420009,1,0.9975,0.0025,0.0025
WZ_20111110031312018380097,1,0.9824,0.0176,0.0176
FORMATDB_201705123B2C075201,1,0.9803,0.0197,0.0197
SN_20170619013047264520053,1,0.9093,0.0907,0.0907
KURIER_201708011920340147,1,0.9685,0.0315,0.0315
NEWS_2016121770EAEEF26F,1,0.9974,0.0026,0.0026
STANDARD_20180221194502454650053,1,0.9995,0.0005,0.0005
FALTER_201008111611360076,1,0.5065,0.4935,0.4935
STANDARD_201109291925100060,1,0.9956,0.0044,0.0044
FALTER_20170301591854D1A7,1,0.6496,0.3504,0.3504
NVT_20161227316B6D24F7,1,0.998,0.002,0.002
KURIER_201704041920380060,0,0.9163,0.9163,0.9163
HOR_20180112C7D5EFDB5D,1,0.976,0.024,0.024
WZ_20180303031309561710033,1,0.9847,0.0153,0.0153
KURIER_201706220401530297,1,0.9529,0.0471,0.0471
TT_200605110130510059,1,0.93,0.07,0.07
WZ_20111115031309007650064,1,0.4943,0.5057,0.5057
STANDARD_20170323194003312040055,1,0.9694,0.0306,0.0306
FALTER_2017032239A20C3CF6,1,0.9983,0.0017,0.0017
MEDIANET_201801191CD52EA209,1,0.9986,0.0014,0.0014
STANDARD_20130713194001270370094,0,0.9944,0.9944,0.9944
OOEN_20180125040004262250071,1,0.8992,0.1008,0.1008
OESTERREICH_201705281039445318,0,0.3556,0.3556,0.3556
WZ_20120811031310280150021,1,0.9055,0.0945,0.0945
STANDARD_20160924194006198620098,1,0.9973,0.0027,0.0027
WZ_20161228031110098750062,1,0.9971,0.0029,0.0029
MWVOLL_20130610_2958740,1,0.8399,0.1601,0.1601
STANDARD_20160921194004165110114,1,0.6702,0.3298,0.3298
KLEINE_20180131041006324230241,1,0.9944,0.0056,0.0056
KURIER_201210090311310024,1,0.9996,0.0004,0.0004
WZ_20160102031110045780077,1,0.9939,0.0061,0.0061
TREND_201612226E11013D1F,0,0.995,0.995,0.995
WZ_20170729031307212620093,1,0.9715,0.0285,0.0285
HOR_2018082490C6B90BA6,1,0.9992,0.0008,0.0008
OEREICHE_20150917CDE3FEEF88,0,0.6619,0.6619,0.6619
WZ_20160617031109050310088,1,0.9751,0.0249,0.0249
PRESSE_201805281915090038,1,0.9684,0.0316,0.0316
FURCHE_201709219910618CEC,1,0.9689,0.0311,0.0311
EMEDIA_20181025A5F12F21B0,1,0.9321,0.0679,0.0679
PROFIL_201507279F8A2214BC,1,0.04,0.96,0.96
HOR_2018051818434D63C5,0,0.8491,0.8491,0.8491
HOR_201805116BB5AD4C0E,1,0.9895,0.0105,0.0105
EMEDIA_20141128E23D140AB9,1,0.9734,0.0266,0.0266
WZ_20160406031108092660081,1,0.9668,0.0332,0.0332
KURIER_201609231920410017,0,0.8554,0.8554,0.8554
STANDARD_20140930194001232200080,1,0.9982,0.0018,0.0018
WZ_20150617031308046800089,1,0.9979,0.0021,0.0021
NVT_201801314C009E2719,1,0.9926,0.0074,0.0074
WZ_20131029031314195500091,1,0.9318,0.0682,0.0682
WZ_20141219031315186660080,1,0.8895,0.1105,0.1105
KURIER_201611161920420050,1,0.9993,0.0007,0.0007
KURIER_201802201920530123,1,0.9997,0.0003,0.0003
KLEINE_20171004041005036270360,0,0.9691,0.9691,0.9691
WZ_20161029031111143530065,1,0.9967,0.0033,0.0033
KURIER_201306301834350076,0,0.9565,0.9565,0.9565
MEDIANET_20180427EE75BF82BD,1,0.9617,0.0383,0.0383
WZ_20140816031315025180060,1,0.8124,0.1876,0.1876
NEWS_20161029A3577B7D95,1,0.9679,0.0321,0.0321
MWVOLL_20131007_3368714,1,0.8305,0.1695,0.1695
WZ_20161029031111143530003,1,0.9999,0.0001,0.0001
FORMATDB_20161014B62E777BAC,1,0.173,0.827,0.827
KURIER_201706141920400055,1,0.5478,0.4522,0.4522
WZ_20171018031307015270083,0,0.8679,0.8679,0.8679
WZ_20160701031110004350080,1,0.9972,0.0028,0.0028
MEDIANET_201401144B991FAE58,0,0.7635,0.7635,0.7635
PRESSE_201608061915130103,0,0.2523,0.2523,0.2523
FALTER_20161027BE722103D4,1,0.9991,0.0009,0.0009
TT_2018050580FC7DEEE6,1,0.9633,0.0367,0.0367
KRONE_20180322204680105,1,0.9822,0.0178,0.0178
VN_20170703232342174230113,0,0.231,0.231,0.231
PRESSE_201811031915130184,0,0.9757,0.9757,0.9757
WIBLATT_201205218B11B07398,1,0.9821,0.0179,0.0179
PRESSE_201601091915170066,0,0.0821,0.0821,0.0821
SBGW_20180329030104250810004,1,0.9991,0.0009,0.0009
STANDARD_20180228194502100220091,1,0.1371,0.8629,0.8629
WZ_20161124031311072500017,1,0.9971,0.0029,0.0029
TT_201604293A9C709A55,1,0.9742,0.0258,0.0258
WIENERIN_2017112311A04DB8BA,0,0.9832,0.9832,0.9832
WZ_20180608031308098960016,1,0.8734,0.1266,0.1266
OOEN_20150311035959197400062,1,0.5897,0.4103,0.4103
STANDARD_201112151925160084,0,0.6483,0.6483,0.6483
KRONE_20180112749000008,1,0.992,0.008,0.008
WZ_20180621031308464340089,1,0.977,0.023,0.023
SN_20140908003124006640046,1,0.8621,0.1379,0.1379
KLEINE_20180428041005096000409,1,0.9965,0.0035,0.0035
STANDARD_20180213194502596740055,1,0.9975,0.0025,0.0025
TREND_201309301540590016,1,0.6764,0.3236,0.3236
WZ_20160713031109310430069,1,0.9856,0.0144,0.0144
SN_20180726013047117830037,0,0.9185,0.9185,0.9185
STANDARD_20130827194001212180078,1,0.9828,0.0172,0.0172
WZ_20160430031309229040097,1,0.9691,0.0309,0.0309
EMEDIA_20170630F066D347A6,1,0.8802,0.1198,0.1198
WZ_20160930031310160560038,1,0.8724,0.1276,0.1276
STANDARD_20171122194502350460038,0,0.1429,0.1429,0.1429
WZ_20180421226A5B8EF8,1,0.9937,0.0063,0.0063
FALTER_2015120262C41042D2,1,0.996,0.004,0.004
WZ_20170314031110164530078,1,0.9915,0.0085,0.0085
MWVOLL_20161216_7720033,1,0.942,0.058,0.058
FALTER_20161221BEEFEA679E,1,0.8179,0.1821,0.1821
KURIER_201611160401360151,0,0.999,0.999,0.999
WZ_20151218031309229620086,1,0.9983,0.0017,0.0017
VN_20161119234212178480026,1,0.9913,0.0087,0.0087
VN_20180324000014095820021,1,0.9968,0.0032,0.0032
PROFIL_20180806F18A6B1C82,1,0.9983,0.0017,0.0017
PRESSE_201209131916470087,1,0.6859,0.3141,0.3141
PRESSE_201706191915100015,1,0.8481,0.1519,0.1519
EMEDIA_2017063098D7BFB26C,1,0.9933,0.0067,0.0067
KURIER_201807191920330152,1,0.9996,0.0004,0.0004
KURIER_201709150402190191,1,0.9932,0.0068,0.0068
OOEN_20171130040004177310091,1,0.9949,0.0051,0.0051
HOR_20161125EDE694F8A7,1,0.1699,0.8301,0.8301
