Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;GOLD: R: RT: Marktmacht, Monopolisierung;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: RT: Marktmacht, Monopolisierung;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: RT: Marktmacht, Monopolisierung;Average difference per article
WZ_20160520031309097640078;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9821;0.0988;0.0224;0.7539;0.0098;0.0088;0.0008;0.0255;0.0753;0.0169;0.0038;0.1533;0.0;0.0004;0.0107;0.0003;0.0176;0.0004;0.0059;0.0476;0.0179;0.0988;0.0224;0.2461;0.9902;0.9912;0.0008;0.0255;0.0753;0.0169;0.0038;0.1533;0.0;0.0004;0.0107;0.0003;0.0176;0.0004;0.0059;0.0476;0.1363
SN_20180516013053016430080;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.5446;0.0119;0.0111;0.2576;0.1057;0.0009;0.0256;0.0073;0.0448;0.0269;0.1557;0.0015;0.0007;0.0002;0.005;0.0024;0.0139;0.2886;0.0184;0.0681;0.4554;0.9881;0.0111;0.7424;0.1057;0.0009;0.0256;0.0073;0.0448;0.0269;0.1557;0.0015;0.0007;0.0002;0.005;0.0024;0.0139;0.2886;0.0184;0.9319;0.1913
HOR_201604291219400028;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.9997;0.0038;0.2259;0.0001;0.0001;0.0;0.0;0.0009;0.0;0.996;0.0002;0.1447;0.0712;0.0002;0.0064;0.0977;0.0119;0.0027;0.295;0.0001;0.0003;0.9962;0.2259;0.0001;0.0001;0.0;0.0;0.9991;0.0;0.996;0.0002;0.1447;0.0712;0.0002;0.0064;0.0977;0.0119;0.0027;0.705;0.0001;0.2129
SN_20180609013300254480032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9157;0.0013;0.0056;0.0004;0.049;0.0008;0.0033;0.02;0.0016;0.0117;0.0115;0.0004;0.0001;0.0008;0.0837;0.0009;0.0963;0.0506;0.5861;0.024;0.9157;0.0013;0.0056;0.0004;0.049;0.0008;0.0033;0.02;0.0016;0.0117;0.0115;0.0004;0.0001;0.0008;0.0837;0.0009;0.0963;0.0506;0.5861;0.024;0.0932
SN_20180705013104300970047;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.8926;0.1268;0.0282;0.0344;0.0009;0.0002;0.001;0.0008;0.0198;0.9356;0.0973;0.0454;0.0001;0.001;0.0285;0.0035;0.0152;0.0013;0.1648;0.0032;0.1074;0.8732;0.0282;0.0344;0.0009;0.0002;0.001;0.0008;0.0198;0.9356;0.9027;0.0454;0.0001;0.001;0.0285;0.0035;0.0152;0.0013;0.1648;0.0032;0.1584
HOR_201806083E1BC69BF7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9948;0.0237;0.002;0.0026;0.0002;0.0006;0.0002;0.0005;0.0028;0.9669;0.0047;0.0284;0.0001;0.0009;0.0026;0.0022;0.0707;0.0045;0.0013;0.0008;0.9948;0.0237;0.002;0.0026;0.0002;0.0006;0.0002;0.0005;0.0028;0.9669;0.0047;0.0284;0.0001;0.0009;0.0026;0.0022;0.0707;0.0045;0.0013;0.0008;0.1055
TT_201708119645A5DB57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9945;0.6031;0.0235;0.0429;0.0163;0.2271;0.035;0.2633;0.007;0.0327;0.0023;0.0235;0.0005;0.1211;0.1762;0.0005;0.184;0.0058;0.5216;0.3252;0.9945;0.6031;0.0235;0.0429;0.0163;0.2271;0.035;0.2633;0.007;0.0327;0.0023;0.0235;0.0005;0.1211;0.1762;0.0005;0.184;0.0058;0.5216;0.3252;0.1803
STANDARD_20140205194001180700014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6519;0.0078;0.0124;0.0001;0.0177;0.0;0.0;0.0052;0.0;0.0909;0.0;0.002;0.0011;0.001;0.0012;0.0009;0.0003;0.0003;0.0188;0.0018;0.6519;0.0078;0.0124;0.0001;0.0177;0.0;0.0;0.0052;0.0;0.0909;0.0;0.002;0.0011;0.001;0.0012;0.0009;0.0003;0.0003;0.0188;0.0018;0.0407
HOR_201709222740CBF99B;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.0501;0.0003;0.0025;0.0004;0.0011;0.0;0.0;0.001;0.0002;0.0574;0.0002;0.0011;0.0002;0.0002;0.0021;0.0006;0.0004;0.0035;0.001;0.0005;0.9499;0.0003;0.0025;0.0004;0.0011;0.0;0.0;0.001;0.0002;0.0574;0.0002;0.0011;0.0002;0.0002;0.0021;0.0006;0.0004;0.0035;0.999;0.0005;0.101
KONSUM_2018122075F5776A7B;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0.5954;0.0307;0.0011;0.0931;0.0004;0.0023;0.0001;0.0004;0.0041;0.531;0.0056;0.002;0.0001;0.0002;0.0019;0.0001;0.0005;0.0001;0.0056;0.0027;0.4046;0.9693;0.0011;0.9069;0.0004;0.0023;0.9999;0.0004;0.9959;0.469;0.0056;0.002;0.0001;0.0002;0.0019;0.0001;0.0005;0.0001;0.0056;0.0027;0.2384
HOR_20180518B60B469237;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0.9955;0.519;0.1891;0.0056;0.0037;0.023;0.0039;0.1254;0.0393;0.9225;0.009;0.1766;0.0005;0.0645;0.0306;0.0278;0.0082;0.0522;0.0519;0.0085;0.0045;0.519;0.8109;0.9944;0.0037;0.023;0.0039;0.1254;0.9607;0.9225;0.991;0.1766;0.0005;0.0645;0.0306;0.0278;0.0082;0.9478;0.0519;0.9915;0.3829
STANDARD_20161021194006012290100;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9997;0.0183;0.0009;0.0166;0.0579;0.0001;0.0001;0.0338;0.0016;0.8492;0.003;0.7;0.0021;0.0009;0.0;0.657;0.0108;0.0002;0.2012;0.0033;0.0003;0.0183;0.0009;0.9834;0.0579;0.9999;0.0001;0.0338;0.0016;0.8492;0.003;0.7;0.0021;0.0009;0.0;0.657;0.0108;0.0002;0.2012;0.0033;0.2262
STANDARD_20121217194003077710071;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0704;0.0021;0.0019;0.004;0.0004;0.0155;0.0005;0.0011;0.0053;0.0036;0.0014;0.0028;0.0183;0.0024;0.0483;0.0;0.0002;0.016;0.0632;0.0035;0.9296;0.0021;0.0019;0.004;0.0004;0.0155;0.0005;0.0011;0.0053;0.0036;0.0014;0.0028;0.0183;0.0024;0.0483;0.0;0.0002;0.016;0.0632;0.9965;0.1057
STANDARD_20180407194503450510186;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.9968;0.7325;0.0051;0.0007;0.1217;0.0001;0.0126;0.0106;0.0;0.9837;0.0218;0.0128;0.0;0.0135;0.0003;0.0229;0.0477;0.0029;0.183;0.0393;0.0032;0.2675;0.0051;0.0007;0.1217;0.0001;0.0126;0.0106;0.0;0.9837;0.9782;0.0128;0.0;0.0135;0.0003;0.0229;0.0477;0.0029;0.183;0.0393;0.1353
KLEINE_20180603041006090110503;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9995;0.6838;0.008;0.0002;0.3254;0.0042;0.0191;0.1681;0.0018;0.3659;0.0035;0.2768;0.0034;0.3319;0.0077;0.0004;0.1268;0.0191;0.302;0.2404;0.0005;0.6838;0.008;0.9998;0.3254;0.0042;0.0191;0.1681;0.0018;0.3659;0.0035;0.2768;0.0034;0.3319;0.0077;0.0004;0.1268;0.0191;0.302;0.2404;0.1944
STANDARD_20181020194503555290113;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0.9104;0.0231;0.1344;0.0022;0.0279;0.0001;0.0001;0.0394;0.0024;0.7974;0.0007;0.0246;0.0006;0.0008;0.0035;0.0649;0.0038;0.0642;0.0004;0.0021;0.0896;0.9769;0.1344;0.0022;0.0279;0.0001;0.0001;0.0394;0.9976;0.7974;0.0007;0.0246;0.0006;0.0008;0.0035;0.0649;0.0038;0.9358;0.0004;0.0021;0.2051
HOR_201505291614310008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9542;0.0013;0.0008;0.0008;0.0003;0.0008;0.0011;0.0015;0.0099;0.0001;0.0013;0.0035;0.0004;0.0004;0.0011;0.0121;0.1181;0.866;0.8998;0.0158;0.9542;0.0013;0.0008;0.0008;0.0003;0.0008;0.0011;0.0015;0.0099;0.0001;0.0013;0.0035;0.0004;0.0004;0.0011;0.0121;0.1181;0.866;0.8998;0.0158;0.1445
STANDARD_20160416194005259970135;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.976;0.0481;0.0427;0.0013;0.0042;0.0003;0.0;0.0574;0.0178;0.9391;0.0024;0.4165;0.0003;0.0021;0.0023;0.2244;0.0054;0.0003;0.1466;0.0009;0.024;0.9519;0.0427;0.9987;0.0042;0.0003;0.0;0.0574;0.0178;0.9391;0.0024;0.5835;0.0003;0.0021;0.0023;0.2244;0.0054;0.0003;0.1466;0.0009;0.2002
TREND_201707288F5D6CABCD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9506;0.0105;0.0099;0.0001;0.0046;0.0001;0.001;0.0117;0.0028;0.7778;0.0111;0.0677;0.0274;0.0011;0.1936;0.0011;0.0248;0.1178;0.8077;0.0001;0.9506;0.0105;0.0099;0.0001;0.0046;0.0001;0.001;0.0117;0.0028;0.7778;0.0111;0.0677;0.0274;0.0011;0.1936;0.0011;0.0248;0.1178;0.8077;0.0001;0.1511
MEDIANET_20150626D24AEE7D06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9994;0.0116;0.0006;0.0036;0.0469;0.0526;0.2163;0.463;0.9864;0.0051;0.1001;0.0016;0.0;0.0225;0.0531;0.0038;0.8561;0.9953;0.7863;0.6813;0.9994;0.0116;0.0006;0.0036;0.0469;0.0526;0.2163;0.463;0.9864;0.0051;0.1001;0.0016;0.0;0.0225;0.0531;0.0038;0.8561;0.9953;0.7863;0.6813;0.3143
KLEINE_20171206041004267390382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0099;0.0012;0.001;0.0001;0.0034;0.0018;0.0002;0.0017;0.0003;0.0021;0.0001;0.002;0.0054;0.0018;0.0101;0.0;0.0001;0.0167;0.0019;0.0005;0.0099;0.0012;0.001;0.0001;0.0034;0.0018;0.0002;0.0017;0.0003;0.0021;0.0001;0.002;0.0054;0.0018;0.0101;0.0;0.0001;0.0167;0.0019;0.0005;0.003
WZ_20150224031309054110092;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.8816;0.0025;0.0018;0.2033;0.0058;0.0046;0.0001;0.0005;0.0071;0.0159;0.0032;0.0617;0.0;0.0001;0.0;0.0003;0.0002;0.0307;0.0;0.0055;0.1184;0.0025;0.0018;0.2033;0.0058;0.0046;0.0001;0.0005;0.0071;0.0159;0.0032;0.9383;0.0;0.0001;0.0;0.0003;0.0002;0.0307;0.0;0.9945;0.1164
HOR_201210121525480015;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.693;0.1061;0.0711;0.0081;0.0097;0.0001;0.0004;0.0008;0.0011;0.0115;0.0157;0.4882;0.0026;0.0004;0.0005;0.0317;0.0067;0.0067;0.3388;0.0108;0.307;0.1061;0.0711;0.0081;0.0097;0.9999;0.0004;0.0008;0.0011;0.0115;0.0157;0.4882;0.0026;0.0004;0.0005;0.0317;0.0067;0.0067;0.3388;0.0108;0.1209
WZ_20171230031309606310024;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.9982;0.0063;0.0;0.9801;0.9819;0.0565;0.0011;0.2181;0.0006;0.9888;0.1015;0.0028;0.0094;0.0;0.0;0.0;0.0;0.0073;0.0001;0.0033;0.0018;0.0063;0.0;0.9801;0.9819;0.0565;0.0011;0.2181;0.0006;0.9888;0.1015;0.0028;0.9906;1.0;0.0;0.0;0.0;0.0073;0.0001;0.0033;0.267
ARBEITW_2015091667B9268003;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.0358;0.008;0.1451;0.0088;0.0259;0.0008;0.0003;0.0029;0.0371;0.0004;0.0003;0.1408;0.0038;0.0013;0.0052;0.0006;0.0008;0.0008;0.013;0.0477;0.9642;0.992;0.1451;0.0088;0.9741;0.9992;0.0003;0.0029;0.9629;0.0004;0.0003;0.1408;0.0038;0.0013;0.0052;0.0006;0.0008;0.0008;0.013;0.0477;0.2632
PRESSE_201812191915090090;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.9668;0.0332;0.0292;0.5164;0.0318;0.0024;0.0003;0.0081;0.0658;0.2132;0.0006;0.0322;0.0002;0.0008;0.0035;0.0005;0.0009;0.0016;0.0012;0.072;0.0332;0.9668;0.0292;0.4836;0.0318;0.0024;0.0003;0.0081;0.0658;0.2132;0.9994;0.0322;0.0002;0.0008;0.0035;0.0005;0.0009;0.0016;0.0012;0.072;0.1473
WZ_20120204031314062310127;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2865;0.0005;0.0;0.0014;0.0014;0.0;0.0;0.0006;0.0002;0.0054;0.0013;0.0019;0.0001;0.0;0.0;0.0001;0.0004;0.0053;0.0031;0.0;0.7135;0.9995;0.0;0.9986;0.0014;0.0;0.0;0.0006;0.0002;0.0054;0.0013;0.0019;0.0001;0.0;0.0;0.0001;0.0004;0.0053;0.0031;0.0;0.1366
STANDARD_20180612194505516790071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9661;0.0022;0.0018;0.0038;0.0012;0.0006;0.0004;0.0018;0.0016;0.0061;0.0105;0.0158;0.0;0.0001;0.0662;0.0006;0.0219;0.0009;0.891;0.0056;0.9661;0.0022;0.0018;0.0038;0.0012;0.0006;0.0004;0.0018;0.0016;0.0061;0.0105;0.0158;0.0;0.0001;0.0662;0.0006;0.0219;0.0009;0.891;0.0056;0.0999
