Article ID,GOLD: AF: Social Companions,PRED: AF: Social Companions,AVG DIFF: AF: Social Companions,Average difference per article
PRESSE_201208051917230086,0,0.999,0.999,0.999
IM_201606291AC7F29F5E,1,0.9997,0.0003,0.0003
VN_20160813234127320770111,0,0.9942,0.9942,0.9942
EMEDIA_201711244E597405B3,0,0.8958,0.8958,0.8958
WZ_200810170115320154,1,0.9544,0.0456,0.0456
KURIER_201511051920580101,1,0.998,0.002,0.002
KURIER_201609080401410126,1,0.9997,0.0003,0.0003
PRESSE_2018111635E6C549D7,0,0.9955,0.9955,0.9955
SN_20170914013122005340117,1,0.4461,0.5539,0.5539
PROFIL_201404071031410011,1,0.9986,0.0014,0.0014
SN_20181020013238294520065,0,0.9978,0.9978,0.9978
TT_20180123C9871AE503,0,0.9976,0.9976,0.9976
PRESSE_201605291915150097,1,0.9978,0.0022,0.0022
STANDARD_20171115194502812820041,1,0.9998,0.0002,0.0002
WZ_20171108031310271600038,1,0.9998,0.0002,0.0002
FORMATDB_201401101616150072,0,0.9735,0.9735,0.9735
PRESSE_201306301915390059,1,0.993,0.007,0.007
FURCHE_2017112314B891ACDA,1,0.9952,0.0048,0.0048
PRESSE_201507121915360104,0,0.9893,0.9893,0.9893
DATUM_201202011605500020,1,0.841,0.159,0.159
SN_201001072322140083,1,0.9974,0.0026,0.0026
KRONE_20160403211040257,1,0.9985,0.0015,0.0015
KURIER_201606211920420083,1,0.9998,0.0002,0.0002
KRONE_201412200435490360,1,0.998,0.002,0.002
WIENERIN_201712149207825157,1,0.9995,0.0005,0.0005
IM_201009291642160043,1,0.9942,0.0058,0.0058
WZ_20180223031310791180041,0,0.1757,0.1757,0.1757
STANDARD_20180321194502095040050,1,0.9979,0.0021,0.0021
STANDARD_200007081907270238,0,0.9734,0.9734,0.9734
NEWS_2016040298A7674F75,1,0.9993,0.0007,0.0007
STANDARD_20160105194002051940118,1,0.9992,0.0008,0.0008
KURIER_201808281920480044,0,0.9971,0.9971,0.9971
KURIER_201708261920360109,1,0.9999,0.0001,0.0001
FURCHE_20180509F6639BE236,1,0.9913,0.0087,0.0087
TT_20170825BACDD2A41E,1,0.9986,0.0014,0.0014
STANDARD_20161013194004252090046,0,0.9961,0.9961,0.9961
NEWS_200003092057410012,0,0.9261,0.9261,0.9261
OOEN_200809250400290135,1,0.9996,0.0004,0.0004
WZ_20151114031310271970073,1,0.9574,0.0426,0.0426
KURIER_201801280401260080,0,0.6258,0.6258,0.6258
KURIER_200307111621030038,1,0.9997,0.0003,0.0003
SN_20150912110031136500056,1,0.9982,0.0018,0.0018
VN_201802240AED5AC3D8,0,0.6661,0.6661,0.6661
WZ_20180609031309193220091,1,0.9998,0.0002,0.0002
KURIER_201609091920420072,1,0.9993,0.0007,0.0007
WZ_20181003_5098459,1,0.9993,0.0007,0.0007
STANDARD_200107071907170162,1,0.9969,0.0031,0.0031
STANDARD_20161109194007308140095,0,0.9546,0.9546,0.9546
KRONE_20181023142940120,0,0.9986,0.9986,0.9986
WZ_20181201_5133365,0,0.4911,0.4911,0.4911
WIBLATT_200804170205030184,1,0.998,0.002,0.002
WIENERIN_20170126222697D75E,0,0.9185,0.9185,0.9185
VN_20121215232708007760147,1,0.9999,0.0001,0.0001
KRONE_201412191716410139,1,0.998,0.002,0.002
TT_201605016250DBF067,1,0.9626,0.0374,0.0374
STANDARD_20150909194002257560093,1,0.9975,0.0025,0.0025
STANDARD_20130522194002017620108,0,0.9995,0.9995,0.9995
STANDARD_201008111925100054,1,0.9798,0.0202,0.0202
SN_201003132325000157,1,0.9961,0.0039,0.0039
PRESSE_201410281915260106,0,0.9998,0.9998,0.9998
PRESSE_201704291915140121,0,0.5218,0.5218,0.5218
PRESSE_1999020603430016,1,0.9707,0.0293,0.0293
STANDARD_19911221050632,1,0.9496,0.0504,0.0504
SN_20150710013128181990083,1,0.9618,0.0382,0.0382
TTKOMP_20160719020245298030064,0,0.994,0.994,0.994
KURIER_201212131716140054,1,0.9885,0.0115,0.0115
PRESSE_201306111915210063,0,0.9977,0.9977,0.9977
TT_20170825F693694D0D,1,0.9975,0.0025,0.0025
MWVOLL_20170112_7821144,0,0.9953,0.9953,0.9953
WIENERIN_20161124C7FD632CA1,1,0.9992,0.0008,0.0008
KURIER_201706210401190224,1,0.9994,0.0006,0.0006
STANDARD_20181027194502239080115,1,0.9994,0.0006,0.0006
KRONE_20171014219271554,1,0.9759,0.0241,0.0241
VN_20160718233308157760116,0,0.9865,0.9865,0.9865
STANDARD_20160504194003235260116,1,0.9779,0.0221,0.0221
NVT_200108010500550020,0,0.999,0.999,0.999
KURIER_201705121920390061,1,0.8922,0.1078,0.1078
KRONE_20170507107200378,0,0.9642,0.9642,0.9642
MWVOLL_20170914_8820361,0,0.995,0.995,0.995
KLEINE_20170827041003215460321,1,0.9994,0.0006,0.0006
PRESSE_201603250400150004,1,0.9988,0.0012,0.0012
SN_200005202042540315,0,0.9933,0.9933,0.9933
PRESSE_201607301915130110,1,0.9662,0.0338,0.0338
KLEINE_20161028041003014480122,1,0.9998,0.0002,0.0002
STANDARD_200611181922050155,0,0.9964,0.9964,0.9964
MEDIANET_201404259B6F8F2B7E,0,0.9743,0.9743,0.9743
EMEDIA_20181130F6382BD619,1,0.9999,0.0001,0.0001
FALTER_201703224B7E7AC4F1,1,0.9966,0.0034,0.0034
OOEN_20171030040004016540027,1,0.9917,0.0083,0.0083
BVZ_20140701143421024730097,0,0.9874,0.9874,0.9874
KLEINE_20181023041005295000439,0,0.9894,0.9894,0.9894
PRESSE_201801141915130063,1,0.9953,0.0047,0.0047
IM_20010701_1601310082,0,0.7334,0.7334,0.7334
PROFIL_201405121146010070,1,0.9994,0.0006,0.0006
OOEN_20120522040006076900046,0,0.9761,0.9761,0.9761
OOEN_20170216040003180050041,1,0.9978,0.0022,0.0022
WZ_20171201031310660980028,1,0.9905,0.0095,0.0095
WZ_20151104031308233360064,1,0.9871,0.0129,0.0129
WIBLATT_200305281924120064,1,0.9976,0.0024,0.0024
PROFIL_201307221531470023,1,0.9991,0.0009,0.0009
PRESSE_201809291915120178,1,0.9993,0.0007,0.0007
WZ_20140124031310182590078,0,0.9606,0.9606,0.9606
STANDARD_20150828194002169290150,0,0.9171,0.9171,0.9171
WZ_20160722031108098120017,0,0.9969,0.9969,0.9969
NVT_20170827543CFC3659,1,0.9993,0.0007,0.0007
KURIER_201212131716140053,1,1.0,0.0,0.0
PRESSE_201711111915180109,1,0.9998,0.0002,0.0002
KLEINE_20170406041003109020296,0,0.9988,0.9988,0.9988
STANDARD_19920205054800,1,0.9911,0.0089,0.0089
STANDARD_200408021921180127,1,0.9978,0.0022,0.0022
STANDARD_20150218194001313380101,1,0.9729,0.0271,0.0271
SN_20170905013041082640031,1,0.8853,0.1147,0.1147
SN_20160504013130298600094,1,0.9896,0.0104,0.0104
SN_20170629013050252890117,1,0.9994,0.0006,0.0006
FORMATDB_201509252E0F8AB8B4,0,0.9571,0.9571,0.9571
KURIER_201709210401550037,1,0.9903,0.0097,0.0097
KURIER_201712080401330011,1,0.9929,0.0071,0.0071
KURIER_201612211920400070,1,0.9995,0.0005,0.0005
PRESSE_200212280218170053,0,0.5503,0.5503,0.5503
PRESSE_201611271915120046,0,0.3124,0.3124,0.3124
SN_20160729013124288040079,1,0.999,0.001,0.001
KURIER_201803081920380154,1,0.9994,0.0006,0.0006
KURIER_201811210401140268,0,0.9914,0.9914,0.9914
KURIER_201801030401370141,0,0.9998,0.9998,0.9998
FORMATDB_20161111BC7EA0D6BB,1,0.9986,0.0014,0.0014
KURIER_201712080401330081,0,0.9216,0.9216,0.9216
OOEN_20161018040003118910025,1,0.9837,0.0163,0.0163
FORMATDB_20150925A7BD99FFF2,1,0.9994,0.0006,0.0006
PRESSE_201704121915090007,1,0.9988,0.0012,0.0012
FORMATDB_200408061527100123,1,0.9957,0.0043,0.0043
FURCHE_201205311643170039,0,0.9683,0.9683,0.9683
KURIER_201212130257460028,1,1.0,0.0,0.0
KURIER_201709210401550151,1,0.9999,0.0001,0.0001
TT_20130518020702184280,1,0.9991,0.0009,0.0009
PRESSE_201506071915360071,0,0.9136,0.9136,0.9136
PRESSE_200906071915540116,1,0.8971,0.1029,0.1029
WZ_20150121031316298470064,1,0.9998,0.0002,0.0002
STANDARD_20160326194003226570109,1,0.9655,0.0345,0.0345
PRESSE_201802101915160118,1,0.9706,0.0294,0.0294
PRESSE_201407161915270070,1,0.9965,0.0035,0.0035
WZ_200107201913270001,0,0.9809,0.9809,0.9809
KURIER_201405311831490009,0,0.9989,0.9989,0.9989
TTKOMP_20160601033409214140080,0,0.9644,0.9644,0.9644
KLEINE_201710284F3466E472,0,0.9955,0.9955,0.9955
STANDARD_200503261922440151,1,0.9968,0.0032,0.0032
DIEWIR_201109051311500026,0,0.5561,0.5561,0.5561
EMEDIA_201812144CB9AE62CE,0,0.9991,0.9991,0.9991
WZ_20170908031307303630059,1,0.9939,0.0061,0.0061
SN_20160201013102166390056,1,0.9991,0.0009,0.0009
STANDARD_20170722194501271440089,1,0.9331,0.0669,0.0669
SN_20170210013038072830002,0,0.9875,0.9875,0.9875
PROFIL_199712200615043,1,0.9946,0.0054,0.0054
STANDARD_20150418194005147330050,1,0.9963,0.0037,0.0037
WZ_20181229_5148737,1,0.9681,0.0319,0.0319
OOEN_200703030408250119,1,0.9952,0.0048,0.0048
WZ_20160416031109313060093,1,0.9988,0.0012,0.0012
KLEINE_20150501041003227740229,0,0.8955,0.8955,0.8955
STANDARD_20170217194004061000060,0,0.9986,0.9986,0.9986
KURIER_201302090309270097,0,0.9643,0.9643,0.9643
SN_20150928013141286540065,1,0.9975,0.0025,0.0025
PRESSE_20160803B1018081CD,1,0.9892,0.0108,0.0108
KLEINE_20170825041003194510320,0,0.9989,0.9989,0.9989
WZ_20171104031109152100017,0,0.1662,0.1662,0.1662
VN_20130518230427033460115,1,0.9998,0.0002,0.0002
VN_20160326230734283850135,1,0.9985,0.0015,0.0015
KURIER_201801030401370268,1,0.9946,0.0054,0.0054
PRESSE_201210281916120151,0,0.9994,0.9994,0.9994
OOEN_200703030408250066,0,0.9993,0.9993,0.9993
PRESSE_201310131915430079,1,0.993,0.007,0.007
PROFIL_201812178E7D0688AB,1,0.9959,0.0041,0.0041
PRESSE_201605041915110076,1,0.9992,0.0008,0.0008
FORMATDB_201611110F8589863A,0,0.9981,0.9981,0.9981
KURIER_201209151717240207,1,0.9983,0.0017,0.0017
WZ_20101023011627071210051,1,0.9999,0.0001,0.0001
STANDARD_20180411194503066820116,1,0.9999,0.0001,0.0001
PRESSE_201306301915390060,1,0.999,0.001,0.001
KRONE_199904091757078,0,0.9947,0.9947,0.9947
MWVOLL_20030917190000603100,0,0.9948,0.9948,0.9948
OOEN_20160305040002039760040,1,0.9982,0.0018,0.0018
WZ_20160331031308108280086,1,1.0,0.0,0.0
EMEDIA_20180126F0E083B9A7,1,0.9987,0.0013,0.0013
TTKOMP_20160701020515166300102,0,0.9962,0.9962,0.9962
KURIER_201701290401280053,1,0.9843,0.0157,0.0157
STANDARD_20180517194502325560049,1,0.9972,0.0028,0.0028
STANDARD_19960119054848000020,1,0.9974,0.0026,0.0026
OOEN_20181107014504186900074,1,0.9973,0.0027,0.0027
MWVOLL_20160616_6998555,1,0.9256,0.0744,0.0744
EMEDIA_201302221753240056,1,0.9406,0.0594,0.0594
WZ_20180525C9E368BFD8,1,0.882,0.118,0.118
MEDIANET_2016030413C1A5E1EC,1,0.9998,0.0002,0.0002
ECHO_200709011522210012,0,0.7411,0.7411,0.7411
TT_20160912860AAB4E91,0,0.9989,0.9989,0.9989
KURIER_201707061920410025,0,0.9895,0.9895,0.9895
KURIER_201601121920550012,0,0.9987,0.9987,0.9987
OOEN_20160305B035521226,1,0.9941,0.0059,0.0059
PRESSE_201701291915120115,1,0.999,0.001,0.001
TT_201801186199D4726A,0,0.9777,0.9777,0.9777
WZ_20160820031110268600067,1,0.9998,0.0002,0.0002
STANDARD_20171115194502812820138,1,0.9998,0.0002,0.0002
KURIER_201302091832000119,1,0.9363,0.0637,0.0637
KURIER_1996012218530147,1,0.9996,0.0004,0.0004
KLEINE_20171027041003028330126,1,0.9992,0.0008,0.0008
KRONE_20160603011960099,1,0.9976,0.0024,0.0024
WZ_200408052235210142,1,0.9962,0.0038,0.0038
PROFIL_201807092787C83B57,1,0.9515,0.0485,0.0485
VN_20110514D1BD2E4A00,0,0.9992,0.9992,0.9992
VN_20181009231332702480107,1,0.7743,0.2257,0.2257
PRESSE_200704061849390083,1,0.9922,0.0078,0.0078
NVT_201704192901910B90,1,0.9992,0.0008,0.0008
HOR_20181116CB6F841543,1,0.986,0.014,0.014
KURIER_201805280400460030,0,0.9726,0.9726,0.9726
KURIER_201010231720010174,1,0.9998,0.0002,0.0002
WIBLATT_201608225EEF91EB48,1,0.9957,0.0043,0.0043
TTKOMP_20160226020411097190106,1,0.9997,0.0003,0.0003
NOEN_20180117074232329640218,1,0.8564,0.1436,0.1436
OESTERREICH_20180926975ED551E3,0,0.9977,0.9977,0.9977
SN_199707192023320035,1,0.9775,0.0225,0.0225
PROFIL_201604041421430008,1,0.9989,0.0011,0.0011
MWVOLL_20181113_10517373,1,0.9987,0.0013,0.0013
WIENERIN_2018072680706B2C87,1,0.8244,0.1756,0.1756
VN_20150801232923258770102,1,0.9998,0.0002,0.0002
FURCHE_20160728E0B6BB12ED,1,0.9927,0.0073,0.0073
NOEN_20180116080553666750081,1,0.8564,0.1436,0.1436
STANDARD_20171108194501866020115,1,0.852,0.148,0.148
STANDARD_20181027194502239080114,1,0.99,0.01,0.01
PRESSE_201603131915150054,1,0.9991,0.0009,0.0009
SN_201103192323490015,0,0.99,0.99,0.99
TT_201704072E97932212,0,0.7259,0.7259,0.7259
