Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;Average difference per article
VN_20150509231014309580135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0085;0.0001;0.0001;0.0;0.0003;0.0001;0.0;0.0044;0.0013;0.0007;0.0004;0.0181;0.0012;0.0002;0.0001;0.0036;0.0012;0.0244;0.0085;0.0001;0.0001;0.0;0.0003;0.0001;0.0;0.0044;0.0013;0.0007;0.0004;0.0181;0.0012;0.0002;0.0001;0.0036;0.0012;0.0244;0.0036
SN_20140402005000266560093;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0.001;0.0008;0.0005;0.0003;0.0002;0.0;0.0;0.0004;0.0;0.0059;0.0002;0.0004;0.0001;0.0001;0.0004;0.0014;0.0002;0.0025;0.999;0.0008;0.0005;0.0003;0.0002;0.0;0.0;0.0004;0.0;0.9941;0.0002;0.0004;0.0001;0.0001;0.9996;0.0014;0.0002;0.0025;0.1667
KURIER_201511041920580028;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0.9998;0.0001;0.0001;0.0021;0.7488;0.0001;0.0;0.1697;0.136;0.0016;0.0006;0.5238;0.0025;0.0;0.0002;0.0133;0.0025;0.1214;0.0002;0.0001;0.0001;0.0021;0.7488;0.0001;0.0;0.1697;0.136;0.0016;0.0006;0.4762;0.9975;0.0;0.0002;0.0133;0.0025;0.1214;0.1484
KLEINE_20170614041003015480051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.2044;0.0;0.0293;0.1256;0.0147;0.0003;0.5678;0.0002;0.8067;0.0;0.1335;0.0787;0.0965;0.0;0.1618;0.0042;0.2609;1.0;0.2044;0.0;0.0293;0.1256;0.0147;0.0003;0.5678;0.0002;0.8067;0.0;0.1335;0.0787;0.0965;0.0;0.1618;0.0042;0.2609;0.1936
PRESSE_200812191915420113;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9999;0.0014;0.172;0.0001;0.8557;0.0001;0.0001;0.0451;0.0169;0.2632;0.0001;0.0385;0.3198;0.0016;0.0604;0.0052;0.0044;0.9425;0.0001;0.0014;0.172;0.0001;0.1443;0.0001;0.0001;0.9549;0.0169;0.2632;0.0001;0.0385;0.3198;0.0016;0.0604;0.0052;0.0044;0.9425;0.1625
KURIER_200812051719380050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9995;0.082;0.0658;0.001;0.0113;0.0003;0.0002;0.0438;0.0007;0.6453;0.0007;0.6039;0.0043;0.0033;0.1157;0.058;0.0015;0.9071;0.9995;0.082;0.0658;0.001;0.0113;0.0003;0.0002;0.0438;0.0007;0.6453;0.0007;0.6039;0.0043;0.0033;0.1157;0.058;0.0015;0.9071;0.1969
STANDARD_20161221194004221610086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9885;0.0036;0.0031;0.0001;0.0005;0.0;0.0;0.0072;0.0011;0.9917;0.0005;0.0011;0.0007;0.0001;0.0294;0.0062;0.0001;0.188;0.9885;0.0036;0.0031;0.0001;0.0005;0.0;0.0;0.0072;0.0011;0.9917;0.0005;0.0011;0.0007;0.0001;0.0294;0.0062;0.0001;0.188;0.1234
EMEDIA_20170224FEC67206A4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9999;0.0615;0.009;0.0056;0.2363;0.0047;0.0003;0.3594;0.072;0.2954;0.0022;0.1882;0.0057;0.0008;0.0021;0.0266;0.0002;0.9005;0.0001;0.0615;0.009;0.0056;0.2363;0.0047;0.0003;0.3594;0.072;0.2954;0.0022;0.1882;0.0057;0.0008;0.0021;0.0266;0.0002;0.0995;0.0761
KURIER_201001031728370081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024;0.0004;0.0;0.0002;0.0048;0.0;0.0;0.0057;0.0;0.0139;0.0;0.0006;0.0016;0.0003;0.0;0.0001;0.0037;0.0019;0.024;0.0004;0.0;0.0002;0.0048;0.0;0.0;0.0057;0.0;0.0139;0.0;0.0006;0.0016;0.0003;0.0;0.0001;0.0037;0.0019;0.0032
STANDARD_20170125194005197690112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0011;0.0008;0.0001;0.0029;0.0;0.0;0.0004;0.0;0.9778;0.0001;0.0138;0.0004;0.0;0.035;0.6018;0.0002;0.4462;1.0;0.0011;0.0008;0.0001;0.0029;0.0;0.0;0.0004;0.0;0.9778;0.0001;0.0138;0.0004;0.0;0.035;0.6018;0.0002;0.4462;0.1711
PRESSE_201708261915150104;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0057;0.0009;0.0;0.0069;0.0001;0.0;0.1539;0.0002;0.915;0.0008;0.6918;0.1789;0.0006;0.0003;0.0032;0.0032;0.8323;0.0;0.0057;0.0009;0.0;0.0069;0.0001;0.0;0.8461;0.0002;0.915;0.0008;0.6918;0.1789;0.0006;0.0003;0.0032;0.0032;0.8323;0.1937
OOEN_20170117040003077910020;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.9978;0.0089;0.0003;0.0001;0.0054;0.0002;0.0;0.0423;0.0005;0.931;0.0006;0.3104;0.0025;0.0011;0.0007;0.0018;0.0005;0.0571;0.0022;0.9911;0.9997;0.0001;0.0054;0.0002;0.0;0.0423;0.0005;0.931;0.0006;0.6896;0.0025;0.0011;0.0007;0.0018;0.0005;0.0571;0.207
PROFIL_201204161209330087;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0748;0.0033;0.0004;0.0002;0.006;0.0;0.0;0.001;0.0001;0.0169;0.0;0.0001;0.0003;0.0006;0.0001;0.0023;0.0001;0.0025;0.9252;0.0033;0.0004;0.0002;0.006;0.0;0.0;0.001;0.0001;0.9831;0.0;0.0001;0.0003;0.0006;0.0001;0.0023;0.0001;0.0025;0.107
STANDARD_20160105194002051940116;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0.9979;0.0024;0.0001;0.0;0.0003;0.0;0.0001;0.0123;0.0001;0.0937;0.0003;0.0034;0.0001;0.0005;0.6279;0.0561;0.9514;0.9869;0.0021;0.0024;0.0001;0.0;0.0003;0.0;0.0001;0.0123;0.0001;0.0937;0.0003;0.9966;0.9999;0.0005;0.6279;0.0561;0.9514;0.9869;0.2628
STANDARD_20160105194002051940104;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1.0;0.0114;0.9987;0.0;0.4068;0.0;0.0004;0.0049;0.0007;0.9411;0.0008;0.8906;0.999;0.0008;0.0057;0.0;0.0036;0.5613;0.0;0.0114;0.9987;0.0;0.5932;0.0;0.0004;0.0049;0.0007;0.0589;0.0008;0.1094;0.999;0.0008;0.0057;0.0;0.0036;0.5613;0.186
PROFIL_20170410B94762E951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1142;0.0005;0.0005;0.0004;0.0019;0.0;0.0;0.0052;0.0003;0.3678;0.0001;0.0001;0.0003;0.0002;0.0015;0.0009;0.0022;0.3356;0.1142;0.0005;0.0005;0.0004;0.0019;0.0;0.0;0.0052;0.0003;0.3678;0.0001;0.0001;0.0003;0.0002;0.0015;0.0009;0.0022;0.3356;0.0462
OOEN_20180414014503176230089;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.4075;0.0015;0.0;0.0;0.0109;0.0;0.0;0.0042;0.0;0.0286;0.0;0.0255;0.0032;0.0013;0.0;0.0012;0.0003;0.0002;0.5925;0.0015;1.0;0.0;0.0109;0.0;0.0;0.0042;0.0;0.9714;0.0;0.0255;0.0032;0.0013;0.0;0.0012;0.0003;0.0002;0.1451
KURIER_201707061920410065;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0.9981;0.0003;0.2108;0.0036;0.0294;0.0001;0.0003;0.2025;0.0165;0.9605;0.0003;0.0218;0.0984;0.0001;0.0273;0.0009;0.0213;0.7274;0.0019;0.0003;0.7892;0.0036;0.0294;0.0001;0.0003;0.7975;0.9835;0.0395;0.0003;0.0218;0.9016;0.0001;0.0273;0.0009;0.0213;0.7274;0.2414
KLEINE_20150805041003069370055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4446;0.0;0.0075;0.0;0.0011;0.0;0.0;0.007;0.0075;0.0006;0.0002;0.2077;0.0077;0.0;0.0021;0.0007;0.0023;0.4656;0.4446;0.0;0.0075;0.0;0.0011;0.0;0.0;0.007;0.0075;0.0006;0.0002;0.2077;0.0077;0.0;0.0021;0.0007;0.0023;0.4656;0.0641
SN_20130619232208096190108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0469;0.0001;0.0003;0.0001;0.0002;0.0;0.0;0.0023;0.0001;0.0407;0.0001;0.0001;0.0025;0.0;0.0012;0.0011;0.006;0.0466;0.0469;0.0001;0.0003;0.0001;0.0002;0.0;0.0;0.0023;0.0001;0.0407;0.0001;0.0001;0.0025;0.0;0.0012;0.0011;0.006;0.0466;0.0082
KURIER_201805011920500018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0116;0.0997;0.0;0.3317;0.0001;0.0011;0.3182;0.0005;0.0874;0.0;0.0114;0.2338;0.0458;0.0007;0.2571;0.002;0.9894;1.0;0.0116;0.0997;0.0;0.3317;0.0001;0.0011;0.3182;0.0005;0.0874;0.0;0.0114;0.2338;0.0458;0.0007;0.2571;0.002;0.9894;0.1884
NVT_20170825FD0C32D6C8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9641;0.0005;0.0031;0.0;0.0026;0.0;0.0;0.0026;0.0;0.2411;0.0;0.001;0.1778;0.0009;0.0004;0.0043;0.0002;0.9738;0.9641;0.0005;0.0031;0.0;0.0026;0.0;0.0;0.0026;0.0;0.2411;0.0;0.001;0.1778;0.0009;0.0004;0.0043;0.0002;0.9738;0.1318
KURIER_200804101725380136;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.9971;0.004;0.0001;0.0001;0.005;0.0;0.0;0.0165;0.0001;0.9887;0.0001;0.0088;0.0038;0.0003;0.0002;0.0023;0.0001;0.0469;0.0029;0.004;0.0001;0.0001;0.005;0.0;0.0;0.0165;0.0001;0.0113;0.0001;0.0088;0.0038;0.0003;0.0002;0.0023;0.0001;0.0469;0.0057
KURIER_201709210401550411;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0019;0.0012;0.0027;0.8183;0.0021;0.0002;0.1286;0.0003;0.929;0.0037;0.0234;0.0954;0.0;0.0;0.0005;0.0005;0.0076;0.0;0.0019;0.0012;0.0027;0.8183;0.0021;0.0002;0.8714;0.0003;0.929;0.0037;0.0234;0.0954;0.0;0.0;0.0005;0.0005;0.0076;0.1532
PRESSE_201603251915080063;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1.0;0.0052;0.0001;0.0041;0.0818;0.0043;0.0;0.9019;0.9766;0.9644;0.0008;0.2991;0.0111;0.0043;0.0059;0.0018;0.0273;0.11;0.0;0.0052;0.0001;0.0041;0.0818;0.0043;0.0;0.0981;0.9766;0.0356;0.0008;0.2991;0.0111;0.0043;0.0059;0.0018;0.0273;0.11;0.0926
TREND_201503230956040007;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0011;0.0004;0.0008;0.0017;0.0;0.0;0.0047;0.0001;0.9997;0.0013;0.0489;0.016;0.0;0.0006;0.0041;0.01;0.0385;0.0;0.0011;0.0004;0.0008;0.9983;0.0;0.0;0.0047;0.0001;0.9997;0.0013;0.0489;0.016;0.0;0.0006;0.0041;0.01;0.0385;0.118
TT_201602032192BBDFF8;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0.9764;0.0006;0.0008;0.0;0.0066;0.0;0.0;0.01;0.0002;0.7168;0.0001;0.001;0.014;0.0003;0.0006;0.0185;0.0001;0.945;0.0236;0.0006;0.0008;0.0;0.9934;0.0;0.0;0.99;0.0002;0.7168;0.0001;0.999;0.014;0.0003;0.0006;0.0185;0.0001;0.945;0.2613
WZ_20180214031308504950066;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.9821;0.0016;0.067;0.0;0.0012;0.0;0.0002;0.0014;0.0001;0.3503;0.0006;0.0315;0.0032;0.0009;0.0007;0.0042;0.0041;0.8161;0.0179;0.0016;0.067;0.0;0.0012;0.0;0.0002;0.0014;0.0001;0.3503;0.0006;0.9685;0.0032;0.0009;0.0007;0.0042;0.0041;0.8161;0.1243
MWVOLL_20180628_9981783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0611;0.0404;0.0011;0.0003;0.0002;0.0;0.0;0.0007;0.0;0.0028;0.0002;0.0;0.0002;0.0004;0.0008;0.0014;0.0008;0.0045;0.0611;0.0404;0.0011;0.0003;0.0002;0.0;0.0;0.0007;0.0;0.0028;0.0002;0.0;0.0002;0.0004;0.0008;0.0014;0.0008;0.0045;0.0064
KURIER_201806081920310032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9806;0.0046;0.018;0.0;0.0029;0.0;0.0002;0.0187;0.0001;0.9642;0.0006;0.0012;0.0066;0.0007;0.08;0.0284;0.1064;0.9589;0.9806;0.0046;0.018;0.0;0.0029;0.0;0.0002;0.0187;0.0001;0.9642;0.0006;0.0012;0.0066;0.0007;0.08;0.0284;0.1064;0.9589;0.1762
WZ_20180217031310334780077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0056;0.0094;0.0;0.0015;0.0;0.0001;0.0044;0.0002;0.9946;0.0012;0.1381;0.1214;0.0006;0.0003;0.0461;0.0006;0.0538;1.0;0.0056;0.0094;0.0;0.0015;0.0;0.0001;0.0044;0.0002;0.9946;0.0012;0.1381;0.1214;0.0006;0.0003;0.0461;0.0006;0.0538;0.1321
KURIER_201702171920390031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9995;0.0008;0.0015;0.0;0.0009;0.0;0.0;0.0405;0.0003;0.9846;0.0004;0.1103;0.0064;0.0001;0.0103;0.1096;0.0006;0.957;0.9995;0.0008;0.0015;0.0;0.0009;0.0;0.0;0.0405;0.0003;0.9846;0.0004;0.1103;0.0064;0.0001;0.0103;0.1096;0.0006;0.957;0.179
DIEWIR_20170904A65AE63CC9;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.9994;0.0454;0.9949;0.0;0.0197;0.0;0.0006;0.0561;0.0008;0.9215;0.0008;0.029;0.9667;0.0048;0.9958;0.0004;0.0056;0.9843;0.0006;0.0454;0.0051;0.0;0.0197;0.0;0.0006;0.0561;0.0008;0.9215;0.0008;0.029;0.0333;0.0048;0.9958;0.0004;0.0056;0.9843;0.1724
PRESSE_201208051917230086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9206;0.0001;0.0;0.0001;0.0007;0.0;0.0;0.007;0.0;0.5469;0.0;0.0004;0.0003;0.0;0.0002;0.0007;0.0;0.0115;0.9206;0.0001;0.0;0.0001;0.0007;0.0;0.0;0.007;0.0;0.5469;0.0;0.0004;0.0003;0.0;0.0002;0.0007;0.0;0.0115;0.0827
