Article ID,GOLD: T: negativ,GOLD: T: ambivalent,GOLD: T: positiv,"GOLD: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",PRED: T: negativ,PRED: T: ambivalent,PRED: T: positiv,"PRED: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",AVG DIFF: T: negativ,AVG DIFF: T: ambivalent,AVG DIFF: T: positiv,"AVG DIFF: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",Average difference per article
WZ_20180214031308504950066,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
WZ_20180217031310334780077,0,0,1,0,0.9999,0.0001,0.0,0.0,0.9999,0.0001,1.0,0.0,0.5
KURIER_201702171920390031,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
DIEWIR_20170904A65AE63CC9,0,1,0,0,0.0,0.0001,0.9999,0.0,0.0,0.9999,0.9999,0.0,0.5
IM_201606291AC7F29F5E,0,0,1,0,0.0002,0.0012,0.0007,0.9978,0.0002,0.0012,0.9993,0.9978,0.4996
WZ_200810170115320154,0,0,0,1,0.0003,0.0052,0.9826,0.0118,0.0003,0.0052,0.9826,0.9882,0.4941
KURIER_201511051920580101,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
KURIER_201609080401410126,0,1,0,0,0.7836,0.0672,0.0075,0.1417,0.7836,0.9328,0.0075,0.1417,0.4664
SN_20170914013122005340117,0,0,1,0,0.015,0.1408,0.3865,0.4576,0.015,0.1408,0.6135,0.4576,0.3067
PROFIL_201404071031410011,0,1,0,0,0.9908,0.0021,0.007,0.0,0.9908,0.9979,0.007,0.0,0.4989
PRESSE_201605291915150097,0,0,1,0,0.0603,0.0003,0.0,0.9395,0.0603,0.0003,1.0,0.9395,0.5
STANDARD_20171115194502812820041,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WZ_20171108031310271600038,0,1,0,0,0.0001,0.0006,0.9994,0.0,0.0001,0.9994,0.9994,0.0,0.4997
PRESSE_201306301915390059,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
FURCHE_2017112314B891ACDA,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
DATUM_201202011605500020,0,0,1,0,0.2554,0.074,0.0395,0.6311,0.2554,0.074,0.9605,0.6311,0.4803
SN_201001072322140083,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KRONE_20160403211040257,0,0,1,0,0.9988,0.0001,0.0,0.001,0.9988,0.0001,1.0,0.001,0.5
KURIER_201606211920420083,0,0,1,0,0.0057,0.0033,0.9908,0.0002,0.0057,0.0033,0.0092,0.0002,0.0046
WIENERIN_201712149207825157,0,0,1,0,0.0,0.0006,0.0,0.9993,0.0,0.0006,1.0,0.9993,0.5
IM_201009291642160043,0,0,1,0,0.003,0.0918,0.1016,0.8036,0.003,0.0918,0.8984,0.8036,0.4492
STANDARD_20180321194502095040050,0,0,1,0,0.0017,0.0205,0.848,0.1298,0.0017,0.0205,0.152,0.1298,0.076
NEWS_2016040298A7674F75,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDARD_20160105194002051940118,0,0,1,0,0.0036,0.0734,0.8716,0.0514,0.0036,0.0734,0.1284,0.0514,0.0642
KURIER_201708261920360109,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FURCHE_20180509F6639BE236,0,1,0,0,0.0021,0.0051,0.0002,0.9926,0.0021,0.9949,0.0002,0.9926,0.4975
TT_20170825BACDD2A41E,0,1,0,0,0.0,0.0003,0.9997,0.0,0.0,0.9997,0.9997,0.0,0.4999
OOEN_200809250400290135,0,1,0,0,0.9846,0.0051,0.0021,0.0082,0.9846,0.9949,0.0021,0.0082,0.4975
WZ_20151114031310271970073,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
KURIER_200307111621030038,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SN_20150912110031136500056,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
WZ_20180609031309193220091,0,1,0,0,0.0003,0.0973,0.0185,0.8839,0.0003,0.9027,0.0185,0.8839,0.4513
KURIER_201609091920420072,0,0,1,0,0.0168,0.0168,0.9658,0.0005,0.0168,0.0168,0.0342,0.0005,0.0171
STANDARD_200107071907170162,0,0,0,1,0.0923,0.1734,0.5659,0.1683,0.0923,0.1734,0.5659,0.8317,0.4158
WIBLATT_200804170205030184,0,0,1,0,0.0003,0.0402,0.8831,0.0764,0.0003,0.0402,0.1169,0.0764,0.0585
VN_20121215232708007760147,0,1,0,0,0.0001,0.0031,0.001,0.9958,0.0001,0.9969,0.001,0.9958,0.4985
KRONE_201412191716410139,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
TT_201605016250DBF067,0,1,0,0,0.2325,0.1628,0.2281,0.3766,0.2325,0.8372,0.2281,0.3766,0.4186
STANDARD_20150909194002257560093,0,0,1,0,0.9995,0.0001,0.0003,0.0,0.9995,0.0001,0.9997,0.0,0.4998
STANDARD_201008111925100054,0,0,1,0,0.0042,0.0234,0.8917,0.0808,0.0042,0.0234,0.1083,0.0808,0.0542
SN_201003132325000157,1,0,0,0,0.7228,0.0388,0.0036,0.2348,0.2772,0.0388,0.0036,0.2348,0.1386
PRESSE_1999020603430016,0,0,1,0,0.0006,0.0068,0.9705,0.0221,0.0006,0.0068,0.0295,0.0221,0.0147
SN_20150710013128181990083,0,1,0,0,0.0455,0.0155,0.0027,0.9363,0.0455,0.9845,0.0027,0.9363,0.4922
KURIER_201212131716140054,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
TT_20170825F693694D0D,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIENERIN_20161124C7FD632CA1,0,0,1,0,0.7725,0.0547,0.014,0.1589,0.7725,0.0547,0.986,0.1589,0.493
KURIER_201706210401190224,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDARD_20181027194502239080115,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
KRONE_20171014219271554,0,1,0,0,0.7424,0.0222,0.0031,0.2323,0.7424,0.9778,0.0031,0.2323,0.4889
STANDARD_20160504194003235260116,0,0,1,0,0.0,0.0035,0.9964,0.0001,0.0,0.0035,0.0036,0.0001,0.0018
KURIER_201705121920390061,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KLEINE_20170827041003215460321,0,1,0,0,0.9952,0.0008,0.004,0.0,0.9952,0.9992,0.004,0.0,0.4996
PRESSE_201607301915130110,0,0,1,0,0.9999,0.0,0.0001,0.0,0.9999,0.0,0.9999,0.0,0.5
KLEINE_20161028041003014480122,0,0,0,1,0.0039,0.092,0.1786,0.7255,0.0039,0.092,0.1786,0.2745,0.1373
EMEDIA_20181130F6382BD619,1,0,0,0,0.9987,0.0003,0.001,0.0,0.0013,0.0003,0.001,0.0,0.0006
FALTER_201703224B7E7AC4F1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
OOEN_20171030040004016540027,0,1,0,0,0.0012,0.0042,0.0042,0.9904,0.0012,0.9958,0.0042,0.9904,0.4979
PRESSE_201801141915130063,0,0,1,0,0.0262,0.056,0.0176,0.9002,0.0262,0.056,0.9824,0.9002,0.4912
PROFIL_201405121146010070,0,0,1,0,0.0,0.0001,0.9999,0.0,0.0,0.0001,0.0001,0.0,0.0001
OOEN_20170216040003180050041,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
WZ_20171201031310660980028,1,0,0,0,0.0,0.0004,0.9996,0.0,1.0,0.0004,0.9996,0.0,0.5
WZ_20151104031308233360064,0,1,0,0,0.0069,0.013,0.0006,0.9795,0.0069,0.987,0.0006,0.9795,0.4935
WIBLATT_200305281924120064,0,1,0,0,0.9959,0.001,0.0,0.0031,0.9959,0.999,0.0,0.0031,0.4995
PROFIL_201307221531470023,0,0,1,0,0.0005,0.0259,0.3345,0.6392,0.0005,0.0259,0.6655,0.6392,0.3328
PRESSE_201809291915120178,0,0,1,0,0.8374,0.0,0.0,0.1626,0.8374,0.0,1.0,0.1626,0.5
NVT_20170827543CFC3659,0,1,0,0,0.821,0.0078,0.0008,0.1704,0.821,0.9922,0.0008,0.1704,0.4961
PRESSE_201711111915180109,0,0,0,1,0.0,0.0006,0.9991,0.0003,0.0,0.0006,0.9991,0.9997,0.4999
KLEINE_20170406041003109020296,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDARD_19920205054800,0,0,1,0,0.2357,0.1435,0.6114,0.0094,0.2357,0.1435,0.3886,0.0094,0.1943
STANDARD_200408021921180127,0,0,1,0,0.0,0.0001,0.9999,0.0,0.0,0.0001,0.0001,0.0,0.0001
STANDARD_20150218194001313380101,0,1,0,0,0.9997,0.0001,0.0,0.0002,0.9997,0.9999,0.0,0.0002,0.5
SN_20170905013041082640031,0,1,0,0,0.0,0.0006,0.0,0.9994,0.0,0.9994,0.0,0.9994,0.4997
SN_20160504013130298600094,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
SN_20170629013050252890117,0,0,1,0,0.95,0.0019,0.0,0.0481,0.95,0.0019,1.0,0.0481,0.5
KURIER_201709210401550037,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KURIER_201712080401330011,0,0,1,0,0.9992,0.0005,0.0002,0.0001,0.9992,0.0005,0.9998,0.0001,0.4999
KURIER_201612211920400070,1,0,0,0,0.0057,0.0048,0.9891,0.0004,0.9943,0.0048,0.9891,0.0004,0.4971
SN_20160729013124288040079,0,0,0,1,0.0,0.0021,0.9978,0.0001,0.0,0.0021,0.9978,0.9999,0.5
KURIER_201803081920380154,0,1,0,0,0.0413,0.0158,0.9424,0.0005,0.0413,0.9842,0.9424,0.0005,0.4921
KURIER_201811210401140268,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
FORMATDB_20161111BC7EA0D6BB,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OOEN_20161018040003118910025,1,0,0,0,0.0,0.0001,0.0,0.9999,1.0,0.0001,0.0,0.9999,0.5
FORMATDB_20150925A7BD99FFF2,1,0,0,0,0.0003,0.0076,0.0013,0.9908,0.9997,0.0076,0.0013,0.9908,0.4999
PRESSE_201704121915090007,1,0,0,0,0.9999,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001
FORMATDB_200408061527100123,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KURIER_201212130257460028,0,0,1,0,0.0095,0.0068,0.9834,0.0003,0.0095,0.0068,0.0166,0.0003,0.0083
KURIER_201709210401550151,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
TT_20130518020702184280,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
PRESSE_200906071915540116,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
WZ_20150121031316298470064,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
STANDARD_20160326194003226570109,0,1,0,0,0.9927,0.001,0.0001,0.0062,0.9927,0.999,0.0001,0.0062,0.4995
PRESSE_201802101915160118,0,1,0,0,0.9988,0.0001,0.0,0.0011,0.9988,0.9999,0.0,0.0011,0.5
PRESSE_201407161915270070,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
KLEINE_201710284F3466E472,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
STANDARD_200503261922440151,1,0,0,0,0.9995,0.0004,0.0,0.0001,0.0005,0.0004,0.0,0.0001,0.0003
WZ_20170908031307303630059,0,0,1,0,0.0045,0.0416,0.7055,0.2484,0.0045,0.0416,0.2945,0.2484,0.1472
SN_20160201013102166390056,0,0,1,0,0.0059,0.0212,0.9701,0.0028,0.0059,0.0212,0.0299,0.0028,0.0149
STANDARD_20170722194501271440089,0,1,0,0,0.859,0.0033,0.0001,0.1377,0.859,0.9967,0.0001,0.1377,0.4984
PROFIL_199712200615043,0,1,0,0,0.5384,0.0226,0.001,0.438,0.5384,0.9774,0.001,0.438,0.4887
STANDARD_20150418194005147330050,0,1,0,0,0.9328,0.0002,0.0,0.067,0.9328,0.9998,0.0,0.067,0.4999
WZ_20181229_5148737,0,1,0,0,0.9984,0.0004,0.0,0.0012,0.9984,0.9996,0.0,0.0012,0.4998
WZ_20160416031109313060093,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN_20150928013141286540065,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
PRESSE_20160803B1018081CD,0,0,1,0,0.0,0.0001,0.9999,0.0,0.0,0.0001,0.0001,0.0,0.0001
VN_20130518230427033460115,0,1,0,0,0.1861,0.1615,0.5425,0.1099,0.1861,0.8385,0.5425,0.1099,0.4193
VN_20160326230734283850135,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRESSE_201310131915430079,0,0,1,0,0.0438,0.0079,0.0005,0.9478,0.0438,0.0079,0.9995,0.9478,0.4998
PROFIL_201812178E7D0688AB,0,1,0,0,0.0267,0.1591,0.6106,0.2037,0.0267,0.8409,0.6106,0.2037,0.4205
PRESSE_201605041915110076,0,0,1,0,0.8362,0.0716,0.0503,0.0419,0.8362,0.0716,0.9497,0.0419,0.4748
KURIER_201209151717240207,0,0,1,0,0.0,0.0001,0.9999,0.0,0.0,0.0001,0.0001,0.0,0.0001
WZ_20101023011627071210051,0,0,1,0,0.0,0.0008,0.9992,0.0,0.0,0.0008,0.0008,0.0,0.0004
STANDARD_20180411194503066820116,0,0,1,0,0.0141,0.0737,0.5038,0.4084,0.0141,0.0737,0.4962,0.4084,0.2481
PRESSE_201306301915390060,1,0,0,0,0.0075,0.0022,0.9903,0.0,0.9925,0.0022,0.9903,0.0,0.4962
MWVOLL_20030917190000603100,1,0,0,0,0.0042,0.0014,0.9944,0.0,0.9958,0.0014,0.9944,0.0,0.4979
OOEN_20160305040002039760040,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
WZ_20160331031308108280086,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMEDIA_20180126F0E083B9A7,0,0,1,0,0.0,0.0001,0.9999,0.0,0.0,0.0001,0.0001,0.0,0.0001
KURIER_201701290401280053,0,1,0,0,0.9812,0.0099,0.0039,0.0049,0.9812,0.9901,0.0039,0.0049,0.495
STANDARD_20180517194502325560049,0,1,0,0,0.0001,0.0018,0.0001,0.998,0.0001,0.9982,0.0001,0.998,0.4991
STANDARD_19960119054848000020,0,0,0,1,0.9927,0.004,0.0023,0.001,0.9927,0.004,0.0023,0.999,0.4995
OOEN_20181107014504186900074,0,0,1,0,0.9999,0.0,0.0,0.0,0.9999,0.0,1.0,0.0,0.5
MWVOLL_20160616_6998555,0,0,1,0,0.4615,0.2403,0.2152,0.083,0.4615,0.2403,0.7848,0.083,0.3924
EMEDIA_201302221753240056,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WZ_20180525C9E368BFD8,0,1,0,0,0.9998,0.0002,0.0,0.0,0.9998,0.9998,0.0,0.0,0.4999
MEDIANET_2016030413C1A5E1EC,0,0,1,0,0.0002,0.1316,0.5532,0.315,0.0002,0.1316,0.4468,0.315,0.2234
OOEN_20160305B035521226,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
PRESSE_201701291915120115,0,0,1,0,0.0013,0.0083,0.9805,0.0099,0.0013,0.0083,0.0195,0.0099,0.0097
WZ_20160820031110268600067,0,1,0,0,0.0043,0.0672,0.5681,0.3604,0.0043,0.9328,0.5681,0.3604,0.4664
STANDARD_20171115194502812820138,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
KURIER_1996012218530147,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLEINE_20171027041003028330126,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KRONE_20160603011960099,0,1,0,0,0.0004,0.0343,0.8977,0.0675,0.0004,0.9657,0.8977,0.0675,0.4828
WZ_200408052235210142,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFIL_201807092787C83B57,0,0,1,0,0.0,0.0003,0.9997,0.0,0.0,0.0003,0.0003,0.0,0.0001
VN_20181009231332702480107,0,1,0,0,0.0,0.0004,0.9996,0.0,0.0,0.9996,0.9996,0.0,0.4998
PRESSE_200704061849390083,0,0,1,0,0.0001,0.0,0.0,0.9999,0.0001,0.0,1.0,0.9999,0.5
NVT_201704192901910B90,0,1,0,0,0.9668,0.0219,0.0053,0.0061,0.9668,0.9781,0.0053,0.0061,0.4891
HOR_20181116CB6F841543,0,1,0,0,0.9968,0.0001,0.0,0.0031,0.9968,0.9999,0.0,0.0031,0.5
KURIER_201010231720010174,0,0,1,0,0.0,0.0003,0.9996,0.0,0.0,0.0003,0.0004,0.0,0.0002
WIBLATT_201608225EEF91EB48,0,0,1,0,0.0012,0.1124,0.1738,0.7125,0.0012,0.1124,0.8262,0.7125,0.4131
TTKOMP_20160226020411097190106,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
SN_199707192023320035,0,0,1,0,0.0,0.0013,0.0002,0.9985,0.0,0.0013,0.9998,0.9985,0.4999
PROFIL_201604041421430008,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWVOLL_20181113_10517373,0,0,1,0,0.0208,0.0036,0.9756,0.0,0.0208,0.0036,0.0244,0.0,0.0122
WIENERIN_2018072680706B2C87,0,1,0,0,0.9913,0.0014,0.0,0.0073,0.9913,0.9986,0.0,0.0073,0.4993
VN_20150801232923258770102,1,0,0,0,0.0001,0.0214,0.0042,0.9743,0.9999,0.0214,0.0042,0.9743,0.5
FURCHE_20160728E0B6BB12ED,0,1,0,0,0.1582,0.007,0.0001,0.8347,0.1582,0.993,0.0001,0.8347,0.4965
NOEN_20180116080553666750081,0,0,0,1,0.0008,0.0324,0.1935,0.7733,0.0008,0.0324,0.1935,0.2267,0.1134
STANDARD_20171108194501866020115,0,0,1,0,0.0026,0.0267,0.0127,0.958,0.0026,0.0267,0.9873,0.958,0.4936
STANDARD_20181027194502239080114,0,0,1,0,0.9736,0.0002,0.0,0.0262,0.9736,0.0002,1.0,0.0262,0.5
PRESSE_201603131915150054,0,0,1,0,0.5965,0.1556,0.0798,0.168,0.5965,0.1556,0.9202,0.168,0.4601
